iter	Passed	Remaining
251	66270	196706
252	66566	196543
253	66855	196354
254	67128	196121
255	67413	195919
256	67717	195774
257	68004	195578
258	68279	195348
259	68560	195132
260	68827	194878
261	69083	194592
262	69292	194176
263	69493	193738
264	69696	193309
265	69899	192881
266	70111	192477
267	70322	192075
268	70526	191654
269	70737	191254
270	70944	190844
271	71181	190513
272	71387	190106
273	71594	189699
274	71806	189308
275	72015	188908
276	72223	188512
277	72417	188078
278	72624	187679
279	72833	187286
280	73035	186877
281	73245	186490
282	73448	186087
283	73652	185687
284	73852	185279
285	74056	184881
286	74266	184500
287	74466	184098
288	74672	183710
289	74875	183314
290	75076	182917
291	75290	182552
292	75491	182158
293	75705	181796
294	75926	181450
295	76129	181064
296	76332	180678
297	76534	180292
298	76741	179919
299	76944	179536
300	77147	179155
301	77355	178787
302	77557	178408
303	77768	178048
304	77974	177679
305	78176	177301
306	78381	176933
307	78586	176563
308	78799	176215
309	79003	175847
310	79208	175480
311	79418	175128
312	79632	174783
313	79849	174448
314	80066	174113
315	80276	173762
316	80486	173413
317	80713	173103
318	80931	172772
319	81142	172427
320	81351	172080
321	81565	171744
322	81784	171418
323	81995	171077
324	82206	170736
325	82410	170383
326	82618	170036
327	82830	169700
328	83056	169393
329	83267	169057
330	83481	168727
331	83696	168400
332	83912	168076
333	84128	167752
334	84339	167419
335	84550	167087
336	84764	166761
337	84991	166463
338	85202	166132
339	85413	165802
340	85628	165481
341	85841	165156
342	86047	164819
343	86254	164485
344	86467	164162
345	86772	164014
346	86986	163695
347	87198	163372
348	87405	163039
349	87622	162727
350	87841	162419
351	88054	162099
352	88263	161774
353	88477	161458
354	88688	161139
355	88909	160836
356	89116	160509
357	89323	160183
358	89533	159863
359	89746	159548
360	89957	159231
361	90167	158913
362	90374	158591
363	90583	158271
364	90810	157984
365	91016	157662
366	91229	157352
367	91441	157040
368	91662	156744
369	91888	156458
370	92126	156193
371	92337	155881
372	92562	155594
373	92780	155295
374	93074	155124
375	93437	155066
376	93770	154957
377	94094	154832
378	94406	154687
379	94753	154597
380	95071	154459
381	95409	154353
382	95760	154267
383	96121	154194
384	96330	153878
385	96546	153574
386	97082	153776
387	97601	153948
388	98003	153933
389	98339	153813
390	98644	153643
391	98981	153521
392	99297	153368
393	99655	153277
394	100005	153172
395	100327	153024
396	100661	152894
397	100957	152704
398	101163	152379
399	101378	152068
400	101578	151734
401	101789	151418
402	102008	151114
403	102219	150799
404	102436	150492
405	102648	150180
406	102862	149871
407	103072	149556
408	103281	149240
409	103498	148936
410	103716	148634
411	103932	148331
412	104142	148018
413	104351	147705
414	104556	147387
415	104773	147085
416	104979	146769
417	105190	146461
418	105399	146150
419	105607	145838
420	105822	145537
421	106036	145235
422	106261	144947
423	106469	144638
424	106688	144342
425	106898	144037
426	107106	143728
427	107321	143429
428	107530	143123
429	107749	142831
430	107958	142524
431	108166	142218
432	108378	141918
433	108590	141617
434	108802	141317
435	109019	141025
436	109225	140718
437	109434	140416
438	109656	140130
439	109866	139829
440	110080	139534
441	110286	139230
442	110498	138933
443	110715	138643
444	110929	138350
445	111135	138047
446	111345	137749
447	111551	137447
448	111769	137159
449	112005	136895
450	112224	136610
451	112441	136323
452	112663	136041
453	112913	135794
454	113175	135561
455	113407	135293
456	113646	135032
457	113887	134775
458	114124	134513
459	114348	134234
460	114584	133971
461	114835	133726
462	115070	133461
463	115303	133195
464	115534	132926
465	115777	132672
466	116017	132413
467	116254	132152
468	116486	131885
469	116725	131626
470	116980	131385
471	117224	131132
472	117461	130871
473	117708	130621
474	117958	130375
475	118202	130121
476	118439	129861
477	118683	129607
478	118916	129343
479	119144	129073
480	119382	128814
481	119650	128587
482	119888	128327
483	120123	128065
484	120365	127810
485	120603	127552
486	120849	127301
487	121093	127048
488	121331	126789
489	121572	126534
490	121819	126285
491	122065	126035
492	122299	125772
493	122541	125518
494	122779	125259
495	123023	125007
496	123272	124760
497	123506	124498
498	123747	124243
499	123987	123987
500	124220	123724
501	124458	123466
502	124703	123216
503	124945	122962
504	125181	122702
505	125416	122441
506	125663	122193
507	125898	121933
508	126140	121679
509	126389	121432
510	126732	121276
511	126970	121019
512	127205	120758
513	127468	120524
514	127714	120274
515	127955	120020
516	128192	119761
517	128419	119494
518	128653	119234
519	128905	118989
520	129143	118732
521	129377	118471
522	129620	118219
523	129864	117968
524	130101	117711
525	130338	117452
526	130576	117196
527	131031	117134
528	131377	116972
529	131713	116802
530	132100	116676
531	132429	116498
532	132778	116336
533	133112	116161
534	133515	116046
535	134176	116153
536	134661	116104
537	134929	115868
538	135144	115587
539	135359	115305
540	135571	115023
541	135786	114741
542	136004	114463
543	136226	114190
544	136439	113908
545	136648	113623
546	136872	113351
547	137086	113071
548	137300	112791
549	137522	112518
550	137734	112237
551	137945	111955
552	138156	111674
553	138368	111394
554	138576	111110
555	138800	110841
556	139014	110562
557	139225	110282
558	139434	110000
559	139648	109724
560	139854	109440
561	140072	109166
562	140275	108881
563	140484	108601
564	140694	108322
565	140919	108054
566	141138	107783
567	141352	107507
568	141558	107226
569	141772	106951
570	141976	106669
571	142193	106396
572	142404	106119
573	142620	105847
574	142840	105578
575	143043	105295
576	143252	105018
577	143476	104753
578	143693	104481
579	143898	104202
580	144117	103933
581	144333	103662
582	144534	103380
583	144758	103115
584	144965	102839
585	145171	102561
586	145378	102284
587	145581	102005
588	145786	101728
589	145990	101451
590	146192	101172
591	146404	100900
592	146608	100623
593	146805	100341
594	147013	100068
595	147214	99789
596	147418	99513
597	147618	99235
598	147828	98963
599	148039	98692
600	148250	98422
601	148457	98149
602	148667	97879
603	148871	97604
604	149083	97335
605	149286	97060
606	149500	96793
607	149716	96527
608	149934	96263
609	150143	95993
610	150367	95732
611	150569	95459
612	150772	95185
613	150977	94914
614	151183	94643
615	151375	94363
616	151573	94088
617	151784	93821
618	151994	93553
619	152198	93283
620	152407	93015
621	152614	92746
622	152814	92473
623	153020	92204
624	153223	91934
625	153430	91666
626	153633	91395
627	153843	91129
628	154044	90859
629	154253	90593
630	154461	90326
631	154663	90057
632	154864	89787
633	155063	89515
634	155271	89250
635	155483	88987
636	155692	88722
637	155895	88455
638	156095	88185
639	156297	87917
640	156509	87655
641	156713	87388
642	156913	87119
643	157119	86855
644	157326	86590
645	157534	86327
646	157748	86066
647	157950	85800
648	158159	85537
649	158370	85276
650	158590	85020
651	158799	84758
652	159002	84492
653	159213	84232
654	159418	83968
655	159623	83704
656	159830	83442
657	160033	83178
658	160244	82918
659	160448	82655
660	160655	82393
661	160861	82131
662	161073	81872
663	161281	81612
664	161487	81350
665	161695	81090
666	161904	80830
667	162109	80569
668	162313	80307
669	162522	80048
670	162733	79790
671	162937	79528
672	163141	79267
673	163344	79006
674	163550	78746
675	163794	78504
676	164065	78276
677	164268	78015
678	164475	77756
679	164684	77498
680	164889	77238
681	165093	76979
682	165300	76720
683	165505	76461
684	165707	76201
685	165917	75944
686	166131	75690
687	166335	75431
688	166542	75173
689	166746	74914
690	166955	74659
691	167157	74399
692	167365	74143
693	167579	73889
694	167791	73634
695	167988	73374
696	168189	73115
697	168391	72856
698	168596	72600
699	168803	72344
700	169007	72087
701	169225	71836
702	169422	71576
703	169625	71319
704	169826	71062
705	170030	70806
706	170236	70550
707	170439	70294
708	170643	70038
709	170848	69783
710	171054	69528
711	171255	69272
712	171459	69016
713	171666	68762
714	171878	68511
715	172081	68255
716	172286	68001
717	172499	67750
718	172710	67498
719	172924	67248
720	173132	66995
721	173341	66743
722	173571	66499
723	173786	66250
724	173998	65999
725	174206	65747
726	174404	65491
727	174608	65238
728	174841	64995
729	175048	64744
730	175250	64490
731	175473	64244
732	175687	63995
733	175889	63741
734	176099	63491
735	176309	63241
736	176513	62989
737	176722	62739
738	176931	62488
739	177140	62238
740	177342	61985
741	177543	61733
742	177760	61486
743	177962	61234
744	178171	60984
745	178377	60734
746	178584	60484
747	178790	60234
748	178995	59983
749	179197	59732
750	179424	59489
751	179622	59237
752	179822	58985
753	180033	58737
754	180231	58485
755	180440	58237
756	180643	57987
757	180856	57740
758	181068	57493
759	181279	57246
760	181482	56996
761	181686	56747
762	181901	56501
763	182107	56253
764	182309	56003
765	182515	55755
766	182716	55505
767	182920	55257
768	183127	55009
769	183331	54761
770	183545	54516
771	183752	54268
772	183965	54023
773	184170	53775
774	184375	53528
775	184582	53281
776	184790	53035
777	184990	52786
778	185198	52540
779	185405	52293
780	185621	52050
781	185820	51801
782	186025	51555
783	186235	51309
784	186441	51063
785	186649	50818
786	186846	50569
787	187046	50322
788	187257	50077
789	187476	49835
790	187686	49591
791	187899	49347
792	188107	49102
793	188315	48857
794	188519	48611
795	188715	48364
796	188926	48120
797	189131	47875
798	189338	47630
799	189544	47386
800	189754	47142
801	189968	46900
802	190157	46651
803	190366	46407
804	190577	46164
805	190782	45920
806	190989	45676
807	191195	45432
808	191402	45188
809	191610	44945
810	191813	44701
811	192016	44457
812	192217	44212
813	192422	43968
814	192632	43726
815	192841	43483
816	193051	43241
817	193254	42997
818	193463	42755
819	193667	42512
820	193863	42267
821	194075	42026
822	194286	41784
823	194487	41541
824	194694	41298
825	194896	41055
826	195104	40813
827	195304	40570
828	195509	40328
829	195713	40085
830	195921	39844
831	196119	39601
832	196325	39359
833	196527	39116
834	196742	38877
835	196949	38635
836	197149	38393
837	197353	38151
838	197562	37911
839	197770	37670
840	197975	37429
841	198182	37188
842	198387	36947
843	198601	36708
844	198808	36467
845	199007	36225
846	199207	35984
847	199413	35744
848	199618	35503
849	199814	35261
850	200017	35020
851	200214	34778
852	200413	34537
853	200613	34296
854	200828	34058
855	201028	33817
856	201232	33577
857	201437	33338
858	201649	33099
859	201850	32859
860	202064	32621
861	202271	32382
862	202474	32142
863	202685	31904
864	202891	31665
865	203102	31426
866	203310	31188
867	203515	30949
868	203728	30711
869	203933	30472
870	204139	30234
871	204337	29994
872	204539	29755
873	204769	29520
874	204972	29281
875	205184	29044
876	205386	28805
877	205595	28567
878	205799	28329
879	206007	28091
880	206219	27854
881	206417	27615
882	206627	27378
883	206836	27141
884	207044	26904
885	207247	26666
886	207449	26428
887	207655	26190
888	207863	25953
889	208065	25716
890	208269	25478
891	208474	25241
892	208690	25005
893	208912	24770
894	209127	24534
895	209325	24296
896	209532	24060
897	209747	23824
898	209957	23588
899	210160	23351
900	210375	23115
901	210586	22879
902	210785	22642
903	210992	22406
904	211202	22170
905	211420	21935
906	211726	21709
907	212004	21480
908	212269	21250
909	212518	21018
910	212895	20798
911	213222	20574
912	213557	20349
913	213884	20124
914	214259	19903
915	214573	19677
916	214880	19449
917	215199	19222
918	215490	18993
919	215796	18764
920	216120	18538
921	216417	18308
922	216691	18077
923	216917	17841
924	217151	17606
925	217399	17373
926	217630	17138
927	217862	16903
928	218092	16667
929	218324	16433
930	218554	16197
931	218781	15962
932	219010	15727
933	219240	15492
934	219464	15256
935	219693	15021
936	219919	14786
937	220142	14551
938	220368	14315
939	220605	14081
940	220838	13846
941	221058	13610
942	221284	13375
943	221518	13140
944	221751	12906
945	221972	12670
946	222189	12435
947	222424	12200
948	222668	11966
949	222892	11731
950	223117	11496
951	223347	11261
952	223580	11026
953	223822	10792
954	224038	10556
955	224262	10321
956	224511	10087
957	224752	9853
958	224979	9618
959	225207	9383
960	225428	9148
961	225665	8914
962	225909	8679
963	226220	8448
964	226583	8218
965	226928	7987
966	227271	7755
967	227604	7524
968	227947	7292
969	228263	7059
970	228613	6827
971	228936	6594
972	229266	6361
973	229610	6129
974	229956	5896
975	230325	5663
976	230756	5432
977	231120	5199
978	231511	4966
979	231772	4730
980	232020	4493
981	232258	4257
982	232506	4020
983	232927	3787
984	233258	3552
985	233637	3317
986	234000	3082
987	234357	2846
988	234739	2610
989	235088	2374
990	235444	2138
991	235774	1901
992	236146	1664
993	236541	1427
994	236897	1190
995	237205	952
996	237561	714
997	237915	476
998	238263	238
999	238604	0
