iter	Logloss
0	0.6908868082
1	0.6884567384
2	0.6867495755
3	0.6846605646
4	0.6825046646
5	0.6807055666
6	0.6794924888
7	0.6776730592
8	0.6761978145
9	0.6747571324
10	0.6735070392
11	0.6722428457
12	0.6709921132
13	0.6696594045
14	0.6684350993
15	0.66735927
16	0.6663386568
17	0.665213055
18	0.6639535406
19	0.6627903654
20	0.6616357733
21	0.660740477
22	0.659200514
23	0.6579822849
24	0.6566695614
25	0.6557916231
26	0.6544560676
27	0.6533423089
28	0.6521233359
29	0.6512101559
30	0.6500242259
31	0.6488058215
32	0.6477180479
33	0.646942945
34	0.6460309967
35	0.6453193481
36	0.644247116
37	0.6432543173
38	0.6426731081
39	0.6417821767
40	0.6410657155
41	0.6403644515
42	0.6395542835
43	0.6389165202
44	0.6380222381
45	0.6370872563
46	0.6363918184
47	0.6353177323
48	0.6344975301
49	0.6336976797
50	0.6329357252
51	0.6321826104
52	0.6314480978
53	0.6308852283
54	0.6301577469
55	0.6292983545
56	0.6288186996
57	0.6281422623
58	0.627351786
59	0.6265651727
60	0.6260675405
61	0.6254725177
62	0.6249222616
63	0.6242749517
64	0.6235981851
65	0.6229208144
66	0.6223289619
67	0.6216002465
68	0.621011462
69	0.6203454857
70	0.6194954905
71	0.6189240718
72	0.6183509719
73	0.6178746193
74	0.6174244305
75	0.616975248
76	0.6163829817
77	0.6158978184
78	0.6152392803
79	0.6146573423
80	0.6140181536
81	0.6133937784
82	0.6127834942
83	0.6124050121
84	0.611984272
85	0.6113848604
86	0.6108370342
87	0.6102154211
88	0.6096422455
89	0.6091809978
90	0.6085635865
91	0.6082015917
92	0.6078298334
93	0.6073837036
94	0.6069584514
95	0.6063527958
96	0.6057174299
97	0.6052009583
98	0.6047072214
99	0.604271062
100	0.6038229775
101	0.6034459602
102	0.6031715142
103	0.6025949872
104	0.6020322012
105	0.6015208366
106	0.6011530831
107	0.6006438799
108	0.600267393
109	0.5997580809
110	0.5992941167
111	0.5988503359
112	0.5981983322
113	0.5976839972
114	0.5972378538
115	0.5969437553
116	0.5963862721
117	0.5959732098
118	0.5955063929
119	0.5951245904
120	0.5946601555
121	0.5943398282
122	0.5939490455
123	0.5935049457
124	0.5931595516
125	0.5926423749
126	0.5922703664
127	0.5919458123
128	0.591452802
129	0.5911670007
130	0.590731593
131	0.5904345783
132	0.5901053324
133	0.5897229216
134	0.5893321946
135	0.5889470404
136	0.588525539
137	0.5880713668
138	0.5877151117
139	0.5873377557
140	0.5870070946
141	0.5866485437
142	0.5863200517
143	0.5859258022
144	0.5856705586
145	0.5853909247
146	0.5850293468
147	0.5845934151
148	0.584287108
149	0.5839166287
150	0.5835845888
151	0.5832696407
152	0.5827659529
153	0.5823885675
154	0.5820812929
155	0.5816990284
156	0.5813607529
157	0.5810192883
158	0.5806149081
159	0.5802897995
160	0.5797419062
161	0.5793476188
162	0.5790610165
163	0.5787627502
164	0.5784875664
165	0.5781359863
166	0.5777691925
167	0.5773490138
168	0.5770552361
169	0.5766771303
170	0.5762657328
171	0.5760513393
172	0.575711744
173	0.5753604807
174	0.575011916
175	0.5747223469
176	0.5743390787
177	0.5740782307
178	0.5737776967
179	0.5734085421
180	0.5730704046
181	0.5728057463
182	0.572482743
183	0.5721630489
184	0.571957692
185	0.571650719
186	0.5714161549
187	0.5710780521
188	0.5707285054
189	0.57025608
190	0.5699717407
191	0.5697078875
192	0.5693763546
193	0.5690852168
194	0.5688002495
195	0.5685148784
196	0.5681763027
197	0.5680238848
198	0.567768147
199	0.5675139484
200	0.5672550827
201	0.5669417259
202	0.5666584184
203	0.5663313129
204	0.5660312306
205	0.5657619594
206	0.5654813645
207	0.5651443209
208	0.5649048336
209	0.5645450141
210	0.5642354026
211	0.5639234575
212	0.5635885831
213	0.5633691958
214	0.5631628926
215	0.5627852269
216	0.5624972202
217	0.562176106
218	0.5617873755
219	0.5615356279
220	0.5612651096
221	0.5610263699
222	0.5607866304
223	0.5604820373
224	0.5601877779
225	0.5598741111
226	0.5596506723
227	0.5592586916
228	0.5590089651
229	0.5587113265
230	0.5583768134
231	0.5581892628
232	0.5579906429
233	0.5576680331
234	0.5572245877
235	0.5570002315
236	0.5566608177
237	0.5563997313
238	0.5561666389
239	0.5558622083
240	0.5556373442
241	0.5554189815
242	0.5551783159
243	0.5549522135
244	0.5547081372
245	0.5544544753
246	0.5541540048
247	0.5539200592
248	0.5536219178
249	0.5534638953
250	0.5531960028
251	0.5529118904
252	0.552612144
253	0.5524623753
254	0.5520439642
255	0.5518146884
256	0.5515229442
257	0.5512435908
258	0.5510013478
259	0.5507553393
260	0.5504796323
261	0.5501914865
262	0.5499320494
263	0.5497058995
264	0.5495114995
265	0.549275141
266	0.5490592929
267	0.5487197069
268	0.5484433625
269	0.5482214207
270	0.5479362275
271	0.5476845563
